pattern,atoms_semicolon_joined
Co,Co
Cp,Cp
DuIM,DuIM
In,In
P3ImIn,P3ImIn
PA,PA
PAF,PAF
PAM,PAM
PAPaM,PAPaM
PAPaPrM,PAPaPrM
PAPaPsM,PAPaPsM
PBNe,PBNe
PFu1In,PFu1In
PFu2In,PFu2In
PG,PG
PGF,PGF
PGM,PGM
PGNe,PGNe
PI,PI
PIM,PIM
PIPaM,PIPaM
PIPaPrM,PIPaPrM
PL,PL
PLM,PLM
PLPaM,PLPaM
PN,PN
PNF,PNF
PNM,PNM
PNMGd,PNMGd
PNNe,PNNe
PNPaF,PNPaF
PNPaM,PNPaM
PNPaPrM,PNPaPrM
PPr1In,PPr1In
PPr1O,PPr1O
PPr2Im,PPr2Im
PPr2In,PPr2In
PPr3In,PPr3In
PPr3InPv,PPr3InPv
PPs3In,PPs3In
PVM,PVM
PaCp,PaCp
S2ImIn,S2ImIn
S3ImIn,S3ImIn
SAF,SAF
SAM,SAM
SANe,SANe
SAPaPrNePv,SAPaPrNePv
SBM,SBM
SBNe,SBNe
SFu3In,SFu3In
SG,SG
SGM,SGM
SGNe,SGNe
SI,SI
SIF,SIF
SIM,SIM
SINe,SINe
SLM,SLM
SLNe,SLNe
SLPaM,SLPaM
SLPaNe,SLPaNe
SN,SN
SNF,SNF
SNFGd,SNFGd
SNM,SNM
SNMGd,SNMGd
SNNe,SNNe
SNNeGd,SNNeGd
SNPaF,SNPaF
SNPaM,SNPaM
SNPaNe,SNPaNe
SPr1In,SPr1In
SPr3ImPv,SPr3ImPv
SPr3In,SPr3In
SPr3InPv,SPr3InPv
SPr3O,SPr3O
SPs3In,SPs3In
SVM,SVM
