chunk,token_idx,S,L,M_surface,M_tags
mega01,1,janamejayaḥ,janamejaya,janamejaya,SNM
mega01,2,uvāca,vac,vac,SPs3In
mega01,3,evam,evam,evam,
mega01,4,dyūta,dyūta,dyūta,Cp
mega01,5,jitāḥ,ji,ji,PNPaM
mega01,6,pārthāḥ,pārtha,pārtha,PNM
mega01,7,kopitāḥ,kopay,kopay,PNPaM
mega01,8,ca,ca,ca,
mega01,9,durātmabhiḥ,durātman,durātman,PIM
mega01,10,dhārtarāṣṭraiḥ,dhārtarāṣṭra,dhārtarāṣṭra,PIM
mega01,11,saha,saha,saha,
mega01,12,amātyaiḥ,amātya,amātya,PIM
mega01,13,nikṛtyā,nikṛti,nikṛti,SIF
mega01,14,dvijasattama,dvijasattama,dvijasattama,SVM
mega01,15,śrāvitāḥ,śrāvay,śrāvay,PNPaM
mega01,16,paruṣāḥ,paruṣa,paruṣa,PAF
mega01,17,vācaḥ,vāc,vāc,PAF
mega01,18,sṛjadbhiḥ,sṛj,sṛj,PIPaPrM
mega01,19,vairam,vaira,vaira,SANe
mega01,20,uttamam,uttama,uttama,SANe
mega01,21,kim,ka,ka,SANe
mega01,22,akurvanta,kṛ,kṛ,P3ImIn
mega01,23,kauravyāḥ,kauravya,kauravya,PNM
mega01,24,mama,mad,mad,SG
mega01,25,pūrva,pūrva,pūrva,Cp
mega01,26,pitāmahāḥ,pitāmaha,pitāmaha,PNM
mega01,27,katham,katham,katham,
mega01,28,ca,ca,ca,
mega01,29,aiśvarya,aiśvarya,aiśvarya,Cp
mega01,30,vibhraṣṭāḥ,vibhraṃś,vibhraṃś,PNPaM
mega01,31,sahasā,sahas,sahas,SINe
mega01,32,duḥkham,duḥkha,duḥkha,SANe
mega01,33,eyuṣaḥ,i,i,PAPaPsM
mega01,34,vane,vana,vana,SLNe
mega01,35,vijahrire,vihṛ,vihṛ,PPs3In
mega01,36,pārthāḥ,pārtha,pārtha,PNM
mega01,37,śakra,śakra,śakra,Cp
mega01,38,pratima,pratima,pratima,Cp
mega01,39,tejasaḥ,tejas,tejas,PNM
mega01,40,ke,ka,ka,PNM
mega01,41,ca,ca,ca,
mega01,42,enān,enad,enad,PAM
mega01,43,anvavartanta,anuvṛt,anuvṛt,P3ImIn
mega01,44,prāptān,prāp,prāp,PAPaM
mega01,45,vyasanam,vyasana,vyasana,SANe
mega01,46,uttamam,uttama,uttama,SANe
mega01,47,kimāhārāḥ,kimāhāra,kimāhāra,PNM
mega01,48,kimācārāḥ,kimācāra,kimācāra,PNM
mega01,49,kva,kva,kva,
mega01,50,ca,ca,ca,
mega01,51,vāsaḥ,vāsa,vāsa,SNM
mega01,52,mahātmanām,mahātman,mahātman,PGM
